Customer,ReviewID,ProductID,Title,Description,Label,Aspect
12,24,1165,Very Pleased,"While I was originally quite disappointed to learn that the Q200 was no longer available in cherry, I am still happy with my dealers recommendation to mate the Q200 with my Q700s. While the Q200 has had limited use (more music than movies) it is working well in the new system and I am very pleased.",P,miscellaneous
13,25,1163,Awesome speaker,"These speakers sound great. If I did not know any better I would swear I was running them with a sub..but my vintage Harman Kardon 330c receiver that I have them connected to, does not have a sub out. :-). The Uni-Q driver is impressive.",P,miscellaneous
11,27,1160,Best I Ever Had,"I too bought these blind at the recommendation of a local dealer. I needed something that was not too big and had high WAF. I wanted the cherry but production delays and the discontinuance of the Q200 in cherry, made me go with walnut. Once getting the streaming from my PC in synch, I was absolutely amazed and pleased with my choice. The dealer was spot-on. Best Bang for the Buck on <$1k speakers. The Q200 is quite good as well, although movies were a secondary consideration.",P,"price, miscellaneous"
20,28,1160,Bang for the buck,"Replaced a pair of twenty year old speakers that were top of the line back then. Gone through a complete upgrade of my system and needed a capable pair of speakers. Bought them from a store in Saskatoon. Running a CEC cd through a Benchmark to a VDH to a 4BST. High quality interconnects and cables. They sounded good, but messy, at first. Five hours in they opened up and made music. Easy to discern individual sounds and instruments when there is a lot happening in the soundstage. Solid imaging. Could be a bit deeper, but that may improve with more hours and positioning experimentation. Voices are the person singing in front of you. They are getting smoother and more open as the hours add up. They need power. Wimpy amps need not apply. Bass is taught. Highs are non-fatiguing. They are capable of great dynamics and will play loud, clean, and do so like music! Would loved to have heard the R's. I suspect they are that much better yet. Maybe move these to the AV system and move up to the R's? Well done KEF!",P,quality
18,31,1159,"Accurate, smooth, awesome soundstage!","I run a pair of Q900's in a 2 channel A/V den-room setup. From music of any kind to action movies, these speakers perform exceptionally well. The bass response is very nice.",P,quality
19,32,1159,"Clear, Crip, Concise, Right On!",The clarity of these speakers is phenomental both for the high and the low. The Q900's pick up every detail making you feel as if you were attending a live performance!,P,quality
12,34,1201,¡Stunning sound! Worth every penny and impressive in every aspect.,"First, my bona fides: My big boy audio system comprises B&W CM7 speakers
running off an Adcom GFA-585 amp, & Adcom GFP-565 preamp.
For digital source: PSAudio NuWave DAC, MacBookPro, &
Intel® 520 Series 480GB SSD.
For analog source: (vinyl) Music Hall MMF-7.1.

Second, the entire package for the KEF X300A is impressive:
The sound quality is *stunning*. The sound stage is deeply 3-dimensional.
The layout of the connection ports, controls, & power is simple & ergonomic.
The design of the speakers is aesthetically pleasing.
The manufacturing is to an almost artisanal-level of craftsmanship.
The materials and components are top-notch.
The packing of the speakers in the box is thoughtful, secure, & clean.
The *cardboard* constituting the box is sturdy & hi-quality.
The feng shui of the entire experience is, shall we say, harmonious
and, i'm willing to bet, would astound Steve Jobs. :)

Third: The KEF X300A is a complete audio delivery system designed
for the digital source of yr choice: iPod, laptop, or desktop.
The KEF X300A provides an onboard DAC that can handle up
to (96kHz 24-bit) files and bypasses the source computer's
built-in (usually lo-quality) DAC thru a USB connection.
The KEF X300A is *not* ""computer speakers"" in some low-bar
attempt to exceed the paltry audio out of most computers.

Finally be *forewarned*: if u acquire the KEF X300A, u will be
kicked up more than a couple of notches and feel compelled to ditch yr
.mp3 files for .aiff (44.1kHz 16 bit) & hi-rez FLAC (96kHz 24-bit) files!

If yr source is a laptop, u will want to stream those hi-rez files off an SSD:
Samsung 840 EVO-Series 1TB 2.5"" SATA III SSD; MZ-7TE1T0BW:
<http://www.amazon.com/dp/B00E3W16OU>

One more appreciated touch: i've spoken a couple of times to the folks at
KEFdirect and have found them to be helpful, considerate, & accommodating.

To get ""CD"" quality (44.1kHz 16-bit) tracks, as opposed to .mp3, rip CDs
in iTunes w/Import Using-->AIFF Encoder to simply copy tracks as .aiff files,
or try downloading an entire album at (44.1kHz 16-bit):
""Variations for Winds; Three Movements; & Tehillim""; Steve Reich; 2006;
<http://store.universal-music.co.uk/restofworld/invt/0028947763086d>

However, to get a taste of hi-res audio, try these on yr KEF X300A system:
""mbv""; My Bloody Valentine; 2013; (96kHz 24-bit):
<http://www.mybloodyvalentine.org/BundleDetail.aspx?rid=138>

""All Things Must Pass""; George Harrison; 1970; (96kHz 24-bit)
<http://georgeharrison.spinshop.com/All%20Things%20Must%20Pass/details/42216>",P,"quality, miscellaneous"
13,35,1201,Worth every dime!,"I ordered these on 4 March. They arrived 7 March, The quality is, simply stated superior. Sound presents an aural image that would make an audiophile take notice; particularly in such a small package. Well done KEF.",P,quality
14,36,1201,As good as it gets,"I wanted access to my main music library (being) converted to digital music audio files (AIFF) including Hi-Res downloads with no loss in fidelity, without spending a ton of dollars for integrated or separates, cables galore and as close as possible to the SQ (sound quality) I experience from my main system which includes KEF Reference 107s (circa 1986). Be it known, I am wedded to KEFs -- in my bedroom, HT and now a fourth system. I also wanted simple and direct setup. I chose speaker stands made to order instead of a desktop configuration and adjusted the EQ. The supplied plugs to regulate bass were appreciated but not needed. Of the several options for connecting to my main system in another room (5m cable made this possible), I chose USB (hoping for the best SQ) from Mac Mini to the X300As. The other connection options, Airplay via Airport Express, Bluetooth dongle received as a pre-order gift from KEF, or stereo 3.5mm analog port were not implemented. First impressions of the SQ were disappointing playing files in iTunes no matter what resolution. Hmmm, new AB amps, new 96/24 Dacs, new everything. Launched my favorite player, Amarra Symphony, and replayed the same files. Ah Ha! Different result: Everything changed (for the much-much-better). So this is what X300As sound like even new out of the box. I was delightfully surprised by the ample bass, very favorable mids, the Highs out of the gate need some more time. Cymbals and drums, horns, voices were resonant without sibilance. Coherence evident. Sound stage big. To be thorough, ease of adjusting the gain visually or by touch is not: While I appreciate the admonition to lower the gain to avoid damage to the drivers, there is no détente that I can feel to discern the middle position, or if there is a middle for the gain adjustment knob, I was able to detect that position; and a contrasting color on the knob itself would have made it easier under certain conditions. While I accept the responsibility for a longer USB cable when needed I would have appreciated longer USB cables then what was supplied. I doubt very many buyers will use them for desktop with the level of performance these speakers are capable of delivering. To sum up: The X300A is well designed and fabricated, attractive aesthetically, and for the price and performance, the X300As are as good as it gets.
Best,
Richard",P,"quality, price"
12,37,1203,Convenient Upgrade from the X300A,"Having used the KEF X300A speakers in my desktop system for over a year I was already familiar with their superior sound quality, dynamics, excellent build quality and easy operation. Properly oriented on the desktop they provide an realistic soundstage and immersive listening experience. The move to the KEF X300AW cousin was primarily for the added convenience of the wireless operation.

Observations:

-the KEF X300AW sounds exactly the same as the KEF X300A

-with Apple products there is no compromise in the sound or seamless wireless operation

-with Windows based computers it is only possible to play through Windows Media Player (an issue for Windows users who want to use other players or streaming services such as Pandora or Spotify)

-have not noticed any interruption or delay in the wifi network in my home office",P,quality
15,39,1199,Just Wanted to Add Some More,"In my previous review I failed to mention the fact that the M500 can be easily powered by an i-pod. With 15 hours in, the phones have opened up even more & with that comes an increase in volume that is as clean & pure as it is at lower volume. In addition, the 500's outperform several open back phones that I have such as the Grado SR 225i & Sennheiser HD-598. Important as they are open back which usually denotes better sound butwith tha tcomes a great deal of leakage eliminating the idea of portablity due to outside noises. Not here, not at all. These are very portable and very lightweight.",P,miscellaneous
1,40,1199,Oh No Not Another Company Coming Out With Headphones,"An electronics salesman told me the KEF was going to introduce their version of over the ear headphones as well as in-ear phones. My immediate reaction was ""oh no"", not another company entering the market. After I settled down it began to sink in, ""this is KEF"" meaning I have to look into this. I am an audiophile but not the type who examines each & every detail to the point of overkill. Too much detail is too much for me. Let me say that this was easily the best headphone purchase I've ever made & I've made way too many.I have some top rated phones like the PSB MU 4 2 as well as the Sennheiser Momentum,, & so forth.) Those cost more than the M500's & don't come close to the precise details, imaging, imaging ,soundstage, etc. The 500's are pure magic when it comes to reproducing all types of music & do so on a grand scale. Beauty & comfort make up the rest of this very fine product which operates with such ease. The fit & finish is typical KEF (meaning as good as it gets) & while they are on ear phones, they provide very good isolation. I've taken them outside & walked sevral miles in very warm weather & the faux leather ear pads & headband do not heat up like so many other headphones do. Am I surprised?, of course not because I figured KEF would wait until they got it right. So back to the Oh no response, because this 500's surpass all of my other phones, Oh yes, applies here. The case is very nice & the cables are flat & wonderfully flexible. The i-pod cable as well as the standard one are very high quality & blend well with the magnificent aluminum body. At $299.99 they're an absolute bargain, bar none. My wife doesn't believe me when I told her that the 500's may very well be my last headphone purchase. I'm really not sure where I would go from here so I'll leave it at that.",P,"quality, price, miscellaneous"
2,42,1200,WOW-Amazing sound-Very KEF like-Love it,"To begin with, I must say that I am a very satisfied KEF Reference 103.2 speaker owner since 1983 (30 years). I love the sound of those speakers so much that when I learn that KEF was now producing headphones, I had to try them. Since I spend more then 10 hours commuting weekly (in a mix of buses,trains and subways), I decided for the in-ear M200.

A few years ago, I did try some well known other brand in-ear headphones in the same price range but I was not satisfied. The sound was good but not good enough to make me forget the many disadvantages. You could not walk nor eat while listening to music because every slite move of your neck or jaw muscles was changing the ear-canal shape and affecting the sound quality. At the same time, I could hear the sound of the bud tip rubbing inside my ear-canal. From that experience, I decided that ""in-ear"" was not for me. Nevertheless, since the M200 were from a company I respect so much and even though there were no review available at that time, I decided to try ""in-ear"" again to make those so many commuting hours more enjoyable. 

The M200s comes in a very well made and ""Apple"" like classy packaging. They looks very high tech and well engineered. I was blown away by the sound. I never expected that the sound would be so good, very detailed and crisp, voices are so natural and basses are clean tight and so deep (not boomy). On one particular song, I was hearing cracking sound from the recording studio floor that I never heard before. So enjoyable, very Hi-Fi, Bravo KEF.

There are only two drawbacks. FIRST, in-ear is definetly not for everyone. The M200 are not some kind of tiny, mini buds. They have some volume for some reasons. Each bud is a two-way speaker arranged much like a big Uni-Q driver (used in high-end KEF speakers) and, all those very low bass sounds required some room/volume to expand. This is why they are not small and that the flexible arms are nessary to support and position them properly. It took me four days to find the proper fitting and positionning to get the full pleasure that those headphones can induce. Now I feel that you can definitely walk confortably with them but you will probably not run nor ear or chew gum while listening to music with them. 

SECOND, while I love my KEF speakers for rendering a realistic 3D like sound with precise instruments positionning on the stage IN FRONT OF THE LISTENER, a headphone, ANY headphone, will never render that same sensation of space just because the music feels more in your head then on the stage in front of you. But at the same time, you would not expect either to hear a Berlin Philharmonic Orchestra, a Dire Strait, a Patricia Barber or an Adele concert in the train.

Anyway, I now have 800+ albums in my iPod library that I have to re-discover with my KEF M200 while the other commuters have to figure out where does that smile come from.",P,"quality, miscellaneous"
13,43,1200,Awful Fit,Great sound if your ear canal is the size of the Chunnel.... would you please consider adding foam tips as a possible option to get these to both fit better and be more comfortable? As of now they will be coming back. Bummed out as I love my KEF home speaker system.,N,quality
8,44,1200,WOW... Hifi-damn straight,"I just got these from my local dealer here in CA. All i have to say is WOW. I used to use Monster Beats over ear headphones, which were ok but I can't run in them. So I decided to try some in-ear headphones. My dad got me into KEF years ago and when I heard these would be available I waited. Anyway, what I love about them is that they SOUND AMAZING, especially comparing them to my Monster Beats. Relaly, WOW. But what is also cool is that they are great for using while working out - the arm that wraps around your ear is extremely adjustable and malleable. I just love them. I may actually eventually get the over ear ones just for the hell of it. Nice job kef!",P,quality
9,51,1166,my pair and others (per audio forums )were bult incorrectly /out of phase from each other  and tech  denied problem,these were not built as mirror pairs but rather are identical. The result is that they do not image correctly since they are out of phase with each other. Tech assistance denied problem and made statement that phase would have no impact on imaging. I corrected phase problem myself  and they are just fine now. In a large room like mine they do not put out enough volume to functiuon as good side surrounds but are actually pretty good rear surrounds.,N,quality
13,56,1158,Good things come in a small package,"The R400b subwoofer by far blows away its competition  in such a small tight package. It drives anything that is thrown at it effortlessly. The sound it produces you would think you had a monster subwoofer or two. I have this in a 18'x18' room.  Do not be afraid of this with two 9"" drivers. You will be blown away what you hear. It pairs very well with the R series of speakers. Great Job KEF...",P,quality
7,58,1203,keep getting disconnected on the network,"great speakers, as I love the KEF line up.

I have both the 300A, and the 300 AW.  Same good quality, just that I turned my wireless pair into a wired pair.  KEF can refund me the $200, and I'm cool with that.

Gary",N,quality
23,59,1200,Really comfortable and sound great,"My wife got these for me for my birthday and I have to say, as both an avid runner and audio enthusiast these are really great! Not sure what others are talking about with the fit. The product comes iwth great eartips (called Comply foam tips) that fit really good in my ears. I use the medium sized ones.  Love the travel case that comes with the product and the bendy arm that wraps around the ear for a secure fit is really soft and comfortalble, and also really malleable. My opinion is that these are really well built and really well engineered. Nice job Kef folks.",P,miscellaneous
45,60,1200,Nice earbuds,"Great sound, feels heavy and well made, great company. I have you rReference 104/2s still and they are the best. M200s are great. Secure fit arm works nice but I had to get used to it. After a small amount o ftime I dont even know its there. These are comfortable.",P,"comfort, miscellaneous"
31,65,1158,Kef 400b is a must subwoofer,"The Kef r400b is an enginering feat and an audio delight. It compliments my mainspeaker in reaching the depths of sound and is and exciting participant  in reaching the thunderous bass of Rock and pop and instrumental/classical music is a natural get out of the way effort. 
Agreat sub and highly recommended.  Buying a second one for evening out some bass nulls. Take care, a customer for life, John M.",P,quality
7,67,1153,"Holly Cow, What Phenomenal Sound","I am of course the very very lucky winner of the HT-Guys 10th year anniversary grand prize – the Kef R-Series 5.1.2 Dolby Atmos Speaker System: 4 x R100, 1 x R200c, 1 x R400b, 2 x R50.  I am so grateful to you guys, and to Dippin from KEF for this amazing prize.
I apologise for the delay of this long overdue email, but with work, travel and other engagements, I did not have the time to fully test out the speaker system before now. Holly cow what phenomenal sound.
First thing I wanted to point out is that I never bought individual speakers in the past.  I have a limited budget for my home ‘entertainment’ setup, and I always put more of an emphasis on the television itself than the audio equipment attached to it.  I did have ambiophonic setups in the past, but I’ve always had all-in-one systems with the inexpensive speakers that came with it.  I always thought that the quality was decent, that I could experience all the audio mixes available correctly and that the speakers were fine for my needs in a small apartment.  My last setup was an Onkyo HT-S5500, 7.1 Channel Home Theater Package.  The Onkyo HT-R591 receiver that came with it does have the height input, so I was able to plug in the R50 speakers, even though it is not an Atmos enabled receiver.
Wow, what a jump, I feel like I went straight from from preschool to postdoctoral studies.  The first thing that is apparent is the shear power of the R-series set of speakers, which most certainly is due to the bigger drivers.  Prior to receiving the R-400b subwoofer, I had done a calibration with the rest of the speakers.  I was surprised how well these small speakers could handle low-end sounds.
After a kerfuffle with U.S. / Canada customs (basically they destroyed the subwoofer and sent it back to KEF), I received the R400b.  I did a proper three-position calibration using the Audyssey microphone.  Well wow … what can I say.
Music:
I am so used to listening to mp3s or streams on the go, that I didn’t think that it would matter much to me listening to music on such a system.  Boy was I wrong … all of a sudden you rediscover new elements in music you thought you knew extremely well.  I pay for the Rdio music service, which basically allows me access to a seemingly limitless catalogue of albums from a browser.  There is also a Roku app for this service and this is the main source of streaming music to my audio setup.  I realise this is not an ideal source, but the 192 kbps streams are good enough for me.  There is a 320 kbps version, but I don’t really hear a difference.  I would love for someone to point out a piece of music where they actually hear the difference between a 192 kbps vs 320 kbps bitrate, and what to look out for.
I decided to use music I am quite familiar with to test out the system.
“David Bowie: Earthling” – I’m Afraid of Americans (Rdio)
There are such a variety of tones in this track and the speakers render all superbly.
I’ve never felt the low tones this way; not a wash, just exactly the tones as they are supposed to be … but with such power that after 1 min I had to stop it in fear of forever ruining my reputation as good neighbor.  This is going to be tricky … I’m going to need to spy on my neighbours to find out when they are not home so I can fully enjoy my setup.

 

“Miles Davis: Ascenceur pour l’échafaud” soundtrack (CD & Rdio)

 

I have listened to this music for such a long time on various formats (tape, CD, streaming), so I figured this would be a good test case.

 

The first thing that was obvious was the hiss in the 1998 CD release of the 1958 recording.  I never noticed this before, not that I was paying attention to it, but this is a testament to the quality of the speakers that I can notice it.  On the re-mastered version, which was available on Rdio, the hiss was absent as expected, however I did notice a bit of gating (is that the correct term?).  Basically I felt that the removal of the noise signature took a little away from the original elements, especially noticeable on the tenor sax.  But this was very slight and obviously has nothing to do with the speakers, but the mastering itself.  What a wonderful experience to listen to this piece on these speakers.  After twiddling around with the different modes of the receiver, I stopped on the Dolby Pro Logic IIz – Height setting, since it seem to provide more ‘presence’ … the effect of which gave the impression of having the musicians in the room with me.  For the first time I was aware of each individual player with all there expressiveness.  This was absolutely clear when I could hear each individual brush stroke on the snare and the subtle accents.  It gave me a whole new appreciation of the musicianship and the timeless quality of this recording.   For those of you thinking of getting the R50s to enhance your sound, I strongly recommend it as it gives more breadth and more frontal power, which enhance the illusion of having the musicians there with you.

 

Actually I'd like to know what do you guys recommend as audio mode when listening to music ?



""Gyorgy Ligeti"" – Continuum / Atmospheres / Ramifications

 

There are recordings that just beg for a multi channel aural space, anything by Gyorgy Ligeti for instance.  For those not familiar with this composer, just think of any memorable moment in a Stanley Kubrick film and chances are it’s enhanced by music by Ligeti.  It’s a music that requires precise speakers, because his compositions often play with rhythmic layers that create phasing, where every note is important.  If the sound is muddled, the effect is lost.  The KEF speakers render these effects perfectly, since again, the individual voices can clearly be heard.

 

Everything I put through it (Jazz, Rock, Folk, Classical, Electronic) sounded phenomenal to me. I never thought that surrounding myself with sound would be so pleasant, but also heighten my awareness of the musicianship by hearing very precisely the contribution of each player.  This was only made possible because of the dynamics and accurateness of these R-Series speakers.

 

 

Movies & TV:

 

I have very few 7.1 mixed films in my collection, as I tend to purchase more foreign classics in ‘full glorious mono’ (as a friend would put it), but I did have ""Prometheus"" by Ridley Scott, which I used to test out the speakers.  Right from the start, with the rolling military snare drums of the 20th Century Fox Fanfare and thunderous thump of the bass drum, I was transported into the theater.  In the introductory scene, there is a waterfall … the roar of it was quite phenomenal and then a massive alien ship hovers into the frame with substantial low tones passing overhead.  In the past, I’ve had systems that could deliver a good rumble to the room, but this is the first time I can say I could distinguish the tones of these two low hums … and even though there was absolutely no denying the power of these tones, I didn’t feel that it was simply just making the walls shake … it was clearly connected to what I was seeing on screen and totally engulfed me into the experience of being there.  Granted, this has to do with good sound design, but I think I would not have gotten this if it weren’t for these speakers.  With regards to the R50s, I have the impression they were also quite active during this sequence, because I did have the impression that the low tones of the ship were coming somewhat above me (though I realise that probably all speakers are involved to achieve this specialization).

 

I’ve also been listening lately to the Daredevil series on Netflix.  Having a Roku, I do get the Dolby Digital + mix.  In light of the fact that this character is blind and has an enhanced auditory sense, the sound mix is used quite effectively to convey this ability, especially during fight sequences.  All the thumps and positioning effects are quite vivid with these speakers and dialogue very clear in the center channel.

 

Sincerely, KEF literally brought the theater into my home and now I understand why you guys (Braden & Ara) sometime say how much nicer it is to have this experience in your own home.  As you often pointed out, the speakers make all the difference … and now I fully agree, speakers should be the number one priority of any enthusiast.

 

When I’ll have the budget for it (in the new year), I will get a full blown Atmos enabled receiver and let you guys know of my impressions.  For now I’ll just be enjoying the speakers thoroughly on a daily basis.

 

Thank you HTGuys and KEF… you rocked my world!

 

Now for the tricky part: Avoiding Eviction.

 

Off to watch some HDTV.

 

Rene",P,miscellaneous
45,70,1143,Fantastic Product!!!,"Wow... KEF really did an amazing job building the LS50's! From sound, build, design and even the insignificant features such as good looks... it does it all! I'd like to thank the amazing service KEF offers and once again thank them for making such a beautiful sounding product! 

Cheers!",P,"design, quality"
19,71,1143,The Nike of loudspeakers,Wider area great fantastic love these little diamonds well done kef now stop production I want to be the only one to own these,P,miscellaneous
21,86,1329,"Accurate, smooth, awesome soundstage!","I run a pair of Q900's in a 2 channel A/V den-room setup. From music of any kind to action movies, these speakers perform exceptionally well. The bass response is very nice. ",P,quality
23,87,1329,"Clear, Crip, Concise, Right On! ",The clarity of these speakers is phenomental both for the high and the low. The Q900's pick up every detail making you feel as if you were attending a live performance!,P,quality
19,110,1199,Earpads are of low quality,"Pros: They sound good

Cons: The earpads break apart and expose the foam inside, evan after minor use. I'm on my third pair. The worst part is that KEF doesn't offer any replacement pads on their site anymore, so now I am stuck with a pair of expensive headphones that look cheap as hell. 

Can't recommend. ",N,quality
31,112,1152,"Fantastic Balance between highs and lows, with exceptional clarity and smooth response","These speakers assume a prominent location in my ""man cave.""  As an owner of the T305 and X300AW systems, I was familiar with KEF's commitment to high quality design and uncompromising sound.  My dilemma was whether to purchase the LS50 or KEF R300.  I made the right choice.  With the additional bass drivers and accompanying fuller sound, these speakers were all I needed to satisfy my ears and complete my system.  Thank you, KEF for your continuing legacy of excellence.  I am a customer for life!",P,quality
