ReviewID,ProductID,Title,Description,Label
20,1155,The speakers are absolutely beautiful,"Just wanted to chime in and say thanks for all the posts in this thread, and to give a little info on my recent KEF speaker purchases. I have spent the last three weeks with my KEF R700s. I also got a R600c at the same time and am about to go ahead and finish off the speaker setup with the R800ds and a sub.

My room isn't dedicated, it's just a spare bedroom in the middle of the house. I've got a Panny projector and a 106"" screen. Because of that I went for the walnut instead of the gloss black.

Here are just a few things about using the KEF R series in a home theater room with a projector.

1) The speakers are absolutely beautiful without the grills attached. The walnut finish is as fine a finish as any piece of furniture I've bought for my home in the last five years. That being said, when it's movie time, I put the grills on. The shiny aluminum rings and shiny Uni-Q driver really can be distracting without the grills on while playing movies.

2) I'm also running these speakers on a recently purchased Marantz AV7701 pre/pro into a Parasound Halo A52.

3) My room is about 13.5' x 13'. Not ideal for acoustics, but the R700s aren't too bass heavy for me. In fact, I'm probably going to order to R400b because I just want a little bit of bass support. Not anything too boomy. I just don't think the speakers need it in my room.

I first got a test listen to the R500's at a dealer in Dallas and I was very impressed with how neutral they sounded. They were running on Parasound Halo JC1 mono amps. I really only had a chance to listen to CD's as a source at that dealer.

I have been happy with my old home theater speakers from a long time ago but finally decided to go for a great system. I was still using an old Denon AVR1400 with analog outputs from many upgraded DVD and Blu-Ray players over the years. I had experience with KEF in the past. I helped my parents pick out a home theater system using KEF speakers like the Reference 100 and 90s and then upgraded their fronts to KEF RDM 2's (I think). I loved the neutrality of the speakers compared to my DefTech's I'd always had.

The thing that strikes me about the R700s is they don't really have that distinctive flat/neutral sound I'm used to in the older KEF series of speakers. Maybe it's the new Uni-Q with the Blade technology. I did audition some PSB Imagine T2's just for comparison and those were very nice speakers as well (I thought). These speakers are pretty awesome after spending three weeks with them. It's the best set of speakers I've ever owned. They are a lot more lively in the higher frequencies than I remember KEF being. But acoustic guitars and strings still sound accurate without being overly bright.

What has been the biggest difference for me is in how revealing and controlled they are. It's hard for me to judge how loud they are playing. I can go from 72db to 77db on my Marantz and everything is so clear just at a higher volume. It's not like anything I've experienced before with my own speakers. There is no level of volume that makes you think the speakers are being pushed to their limits. (I dare not push them too far being this new). They just stay composed and play at a higher volume level.

The other thing for me that has been surprising with two channel music is they have such a great separation in the soundstage. It's more revealing of left and right channels than my DefTech satellites were. I had always read that towers wouldn't be able to create the type of soundstage satellite speakers are capable of reproducing. The KEFs also were so revealing. I could tell after a couple of days of listening to vinyl that the higher frequencies were too harsh. I was really worried the KEF neutrality I was looking for wasn't in these speakers. It turned out the speakers were just revealing to me that my phono preamp needed to have it's settings lowered when loading my MC cartridge. I made a few tweaks to my phono preamp and another world opened up.

I couldn't tell that on my former system even though the Parasound Halo amp was already in that setup chain.

For movies, they are great speakers as well. I just do so much critical two-channel listening on vinyl that I'm not quite as good at evaluating movie sound through the speakers. The R600c is a great match with the R700s. Just a seamless soundfield up front.

Again with movies, I am still re-teaching myself to judge volume levels too. You hear everything so well that you have to say to yourself, 'I'd like it to have a little more volume.'

I presume this is the biggest difference between the Q and the R series. I've read a lot about the Q series really opening up at higher volume levels. From my listening to movies and vinyl so far, the Rs are very good at producing a nice, clean, clear soundstage at medium listening levels.

I'm just really enjoying these speakers. I still have plenty to do to finish off the system with cables, interconnects and getting some people in to do some in-wall installation for the surrounds and projector chords, install new outlets, etc., but I couldn't be happier with holding out for the R series.

I'm a little bit of an analog freak and I do love movies. But I've really been blown away with the R700s for two-channel music. Just get some help carrying those speakers if you pick them up from your dealer. Those boxes are massive!

The wood finishes are beautiful. But if you are buying for just two-channel listening you should definitely go for the gloss black or white finishes. They are really pretty pieces of furniture with the grills off either way.",P
24,1165,Very Pleased,"While I was originally quite disappointed to learn that the Q200 was no longer available in cherry, I am still happy with my dealers recommendation to mate the Q200 with my Q700s. While the Q200 has had limited use (more music than movies) it is working well in the new system and I am very pleased.",P
25,1163,Awesome speaker,"These speakers sound great. If I did not know any better I would swear I was running them with a sub..but my vintage Harman Kardon 330c receiver that I have them connected to, does not have a sub out. :-). The Uni-Q driver is impressive.",P
26,1163,Great Speakers,These are my first pair of Kef's and I am impressed! I intended to use them fronts and rears for a 5.1 surround but I was so blown away that I bought the Q500's for the fronts! I am satisfied with my purchase and would recommend to anyone looking for an entry level setup that sounds awesome!,P
27,1160,Best I Ever Had,"I too bought these blind at the recommendation of a local dealer. I needed something that was not too big and had high WAF. I wanted the cherry but production delays and the discontinuance of the Q200 in cherry, made me go with walnut. Once getting the streaming from my PC in synch, I was absolutely amazed and pleased with my choice. The dealer was spot-on. Best Bang for the Buck on <$1k speakers. The Q200 is quite good as well, although movies were a secondary consideration.",P
28,1160,Bang for the buck,"Replaced a pair of twenty year old speakers that were top of the line back then. Gone through a complete upgrade of my system and needed a capable pair of speakers. Bought them from a store in Saskatoon. Running a CEC cd through a Benchmark to a VDH to a 4BST. High quality interconnects and cables. They sounded good, but messy, at first. Five hours in they opened up and made music. Easy to discern individual sounds and instruments when there is a lot happening in the soundstage. Solid imaging. Could be a bit deeper, but that may improve with more hours and positioning experimentation. Voices are the person singing in front of you. They are getting smoother and more open as the hours add up. They need power. Wimpy amps need not apply. Bass is taught. Highs are non-fatiguing. They are capable of great dynamics and will play loud, clean, and do so like music! Would loved to have heard the R's. I suspect they are that much better yet. Maybe move these to the AV system and move up to the R's? Well done KEF!",P
29,1160,Truly amazing,"I purchased these blindy,all I csn say when i brought them home unpacked and connected to my Anthem I225, I was literally blown awayv these Q700 are revealing, I was hearing things in music I was missing. So far maybe not even 50 hrs on them. These speakers can beat pairs costing 10 times more.",P
30,1159,Q 900,"These speakers (Q 900) Great quality sound you can hear every instrument clearly, every time I listen they put a smile on my face, very great highs and lows also 3D sound it's amazing the vocals and instruments surround you I love these speakers i also have Q 800 and Q600 and soon Q100 for my surround sides, trust me you won't go wrong with these KEF speakers, your speaker shopping will be over. Thank you KEF keep up the awesome quality work. :-)",P
31,1159,"Accurate, smooth, awesome soundstage!","I run a pair of Q900's in a 2 channel A/V den-room setup. From music of any kind to action movies, these speakers perform exceptionally well. The bass response is very nice.",P
32,1159,"Clear, Crip, Concise, Right On!",The clarity of these speakers is phenomental both for the high and the low. The Q900's pick up every detail making you feel as if you were attending a live performance!,P
33,1170,GREAT PRODUCT,ALL GTREAT FREQ RESPONSE,P
34,1201,¡Stunning sound! Worth every penny and impressive in every aspect.,"First, my bona fides: My big boy audio system comprises B&W CM7 speakers
running off an Adcom GFA-585 amp, & Adcom GFP-565 preamp.
For digital source: PSAudio NuWave DAC, MacBookPro, &
Intel® 520 Series 480GB SSD.
For analog source: (vinyl) Music Hall MMF-7.1.

Second, the entire package for the KEF X300A is impressive:
The sound quality is *stunning*. The sound stage is deeply 3-dimensional.
The layout of the connection ports, controls, & power is simple & ergonomic.
The design of the speakers is aesthetically pleasing.
The manufacturing is to an almost artisanal-level of craftsmanship.
The materials and components are top-notch.
The packing of the speakers in the box is thoughtful, secure, & clean.
The *cardboard* constituting the box is sturdy & hi-quality.
The feng shui of the entire experience is, shall we say, harmonious
and, i'm willing to bet, would astound Steve Jobs. :)

Third: The KEF X300A is a complete audio delivery system designed
for the digital source of yr choice: iPod, laptop, or desktop.
The KEF X300A provides an onboard DAC that can handle up
to (96kHz 24-bit) files and bypasses the source computer's
built-in (usually lo-quality) DAC thru a USB connection.
The KEF X300A is *not* ""computer speakers"" in some low-bar
attempt to exceed the paltry audio out of most computers.

Finally be *forewarned*: if u acquire the KEF X300A, u will be
kicked up more than a couple of notches and feel compelled to ditch yr
.mp3 files for .aiff (44.1kHz 16 bit) & hi-rez FLAC (96kHz 24-bit) files!

If yr source is a laptop, u will want to stream those hi-rez files off an SSD:
Samsung 840 EVO-Series 1TB 2.5"" SATA III SSD; MZ-7TE1T0BW:
<http://www.amazon.com/dp/B00E3W16OU>

One more appreciated touch: i've spoken a couple of times to the folks at
KEFdirect and have found them to be helpful, considerate, & accommodating.

To get ""CD"" quality (44.1kHz 16-bit) tracks, as opposed to .mp3, rip CDs
in iTunes w/Import Using-->AIFF Encoder to simply copy tracks as .aiff files,
or try downloading an entire album at (44.1kHz 16-bit):
""Variations for Winds; Three Movements; & Tehillim""; Steve Reich; 2006;
<http://store.universal-music.co.uk/restofworld/invt/0028947763086d>

However, to get a taste of hi-res audio, try these on yr KEF X300A system:
""mbv""; My Bloody Valentine; 2013; (96kHz 24-bit):
<http://www.mybloodyvalentine.org/BundleDetail.aspx?rid=138>

""All Things Must Pass""; George Harrison; 1970; (96kHz 24-bit)
<http://georgeharrison.spinshop.com/All%20Things%20Must%20Pass/details/42216>",P
35,1201,Worth every dime!,"I ordered these on 4 March. They arrived 7 March, The quality is, simply stated superior. Sound presents an aural image that would make an audiophile take notice; particularly in such a small package. Well done KEF.",P
36,1201,As good as it gets,"I wanted access to my main music library (being) converted to digital music audio files (AIFF) including Hi-Res downloads with no loss in fidelity, without spending a ton of dollars for integrated or separates, cables galore and as close as possible to the SQ (sound quality) I experience from my main system which includes KEF Reference 107s (circa 1986). Be it known, I am wedded to KEFs -- in my bedroom, HT and now a fourth system. I also wanted simple and direct setup. I chose speaker stands made to order instead of a desktop configuration and adjusted the EQ. The supplied plugs to regulate bass were appreciated but not needed. Of the several options for connecting to my main system in another room (5m cable made this possible), I chose USB (hoping for the best SQ) from Mac Mini to the X300As. The other connection options, Airplay via Airport Express, Bluetooth dongle received as a pre-order gift from KEF, or stereo 3.5mm analog port were not implemented. First impressions of the SQ were disappointing playing files in iTunes no matter what resolution. Hmmm, new AB amps, new 96/24 Dacs, new everything. Launched my favorite player, Amarra Symphony, and replayed the same files. Ah Ha! Different result: Everything changed (for the much-much-better). So this is what X300As sound like even new out of the box. I was delightfully surprised by the ample bass, very favorable mids, the Highs out of the gate need some more time. Cymbals and drums, horns, voices were resonant without sibilance. Coherence evident. Sound stage big. To be thorough, ease of adjusting the gain visually or by touch is not: While I appreciate the admonition to lower the gain to avoid damage to the drivers, there is no détente that I can feel to discern the middle position, or if there is a middle for the gain adjustment knob, I was able to detect that position; and a contrasting color on the knob itself would have made it easier under certain conditions. While I accept the responsibility for a longer USB cable when needed I would have appreciated longer USB cables then what was supplied. I doubt very many buyers will use them for desktop with the level of performance these speakers are capable of delivering. To sum up: The X300A is well designed and fabricated, attractive aesthetically, and for the price and performance, the X300As are as good as it gets.
Best,
Richard",P
37,1203,Convenient Upgrade from the X300A,"Having used the KEF X300A speakers in my desktop system for over a year I was already familiar with their superior sound quality, dynamics, excellent build quality and easy operation. Properly oriented on the desktop they provide an realistic soundstage and immersive listening experience. The move to the KEF X300AW cousin was primarily for the added convenience of the wireless operation.

Observations:

-the KEF X300AW sounds exactly the same as the KEF X300A

-with Apple products there is no compromise in the sound or seamless wireless operation

-with Windows based computers it is only possible to play through Windows Media Player (an issue for Windows users who want to use other players or streaming services such as Pandora or Spotify)

-have not noticed any interruption or delay in the wifi network in my home office",P
38,1199,Great Product,"I got these headphones as a gift. I'd never heard of this company before, and Have always thought the Bose was the pioneer of quality sound in a small package. Boy was I wrong. These Headphones by-far out sound any modern day headphone that is on the market, From Beats by Dre, to klipsch, these blow them out the water. I will be converting my whole home theater system to KEF. What a great sounding speaker.",P
39,1199,Just Wanted to Add Some More,"In my previous review I failed to mention the fact that the M500 can be easily powered by an i-pod. With 15 hours in, the phones have opened up even more & with that comes an increase in volume that is as clean & pure as it is at lower volume. In addition, the 500's outperform several open back phones that I have such as the Grado SR 225i & Sennheiser HD-598. Important as they are open back which usually denotes better sound butwith tha tcomes a great deal of leakage eliminating the idea of portablity due to outside noises. Not here, not at all. These are very portable and very lightweight.",P
40,1199,Oh No Not Another Company Coming Out With Headphones,"An electronics salesman told me the KEF was going to introduce their version of over the ear headphones as well as in-ear phones. My immediate reaction was ""oh no"", not another company entering the market. After I settled down it began to sink in, ""this is KEF"" meaning I have to look into this. I am an audiophile but not the type who examines each & every detail to the point of overkill. Too much detail is too much for me. Let me say that this was easily the best headphone purchase I've ever made & I've made way too many.I have some top rated phones like the PSB MU 4 2 as well as the Sennheiser Momentum,, & so forth.) Those cost more than the M500's & don't come close to the precise details, imaging, imaging ,soundstage, etc. The 500's are pure magic when it comes to reproducing all types of music & do so on a grand scale. Beauty & comfort make up the rest of this very fine product which operates with such ease. The fit & finish is typical KEF (meaning as good as it gets) & while they are on ear phones, they provide very good isolation. I've taken them outside & walked sevral miles in very warm weather & the faux leather ear pads & headband do not heat up like so many other headphones do. Am I surprised?, of course not because I figured KEF would wait until they got it right. So back to the Oh no response, because this 500's surpass all of my other phones, Oh yes, applies here. The case is very nice & the cables are flat & wonderfully flexible. The i-pod cable as well as the standard one are very high quality & blend well with the magnificent aluminum body. At $299.99 they're an absolute bargain, bar none. My wife doesn't believe me when I told her that the 500's may very well be my last headphone purchase. I'm really not sure where I would go from here so I'll leave it at that.",P
41,1200,Tip's,"I love the sound,but the seal is not good! I have tried all three tip's but they do not go in far enough for me.",N
42,1200,WOW-Amazing sound-Very KEF like-Love it,"To begin with, I must say that I am a very satisfied KEF Reference 103.2 speaker owner since 1983 (30 years). I love the sound of those speakers so much that when I learn that KEF was now producing headphones, I had to try them. Since I spend more then 10 hours commuting weekly (in a mix of buses,trains and subways), I decided for the in-ear M200.

A few years ago, I did try some well known other brand in-ear headphones in the same price range but I was not satisfied. The sound was good but not good enough to make me forget the many disadvantages. You could not walk nor eat while listening to music because every slite move of your neck or jaw muscles was changing the ear-canal shape and affecting the sound quality. At the same time, I could hear the sound of the bud tip rubbing inside my ear-canal. From that experience, I decided that ""in-ear"" was not for me. Nevertheless, since the M200 were from a company I respect so much and even though there were no review available at that time, I decided to try ""in-ear"" again to make those so many commuting hours more enjoyable. 

The M200s comes in a very well made and ""Apple"" like classy packaging. They looks very high tech and well engineered. I was blown away by the sound. I never expected that the sound would be so good, very detailed and crisp, voices are so natural and basses are clean tight and so deep (not boomy). On one particular song, I was hearing cracking sound from the recording studio floor that I never heard before. So enjoyable, very Hi-Fi, Bravo KEF.

There are only two drawbacks. FIRST, in-ear is definetly not for everyone. The M200 are not some kind of tiny, mini buds. They have some volume for some reasons. Each bud is a two-way speaker arranged much like a big Uni-Q driver (used in high-end KEF speakers) and, all those very low bass sounds required some room/volume to expand. This is why they are not small and that the flexible arms are nessary to support and position them properly. It took me four days to find the proper fitting and positionning to get the full pleasure that those headphones can induce. Now I feel that you can definitely walk confortably with them but you will probably not run nor ear or chew gum while listening to music with them. 

SECOND, while I love my KEF speakers for rendering a realistic 3D like sound with precise instruments positionning on the stage IN FRONT OF THE LISTENER, a headphone, ANY headphone, will never render that same sensation of space just because the music feels more in your head then on the stage in front of you. But at the same time, you would not expect either to hear a Berlin Philharmonic Orchestra, a Dire Strait, a Patricia Barber or an Adele concert in the train.

Anyway, I now have 800+ albums in my iPod library that I have to re-discover with my KEF M200 while the other commuters have to figure out where does that smile come from.",P
43,1200,Awful Fit,Great sound if your ear canal is the size of the Chunnel.... would you please consider adding foam tips as a possible option to get these to both fit better and be more comfortable? As of now they will be coming back. Bummed out as I love my KEF home speaker system.,N
44,1200,WOW... Hifi-damn straight,"I just got these from my local dealer here in CA. All i have to say is WOW.

I used to use Monster Beats over ear headphones, which were ok but I can't run in them. So I decided to try some in-ear headphones. My dad got me into KEF years ago and when I heard these would be available I waited.

Anyway, what I love about them is that they SOUND AMAZING, especially comparing them to my Monster Beats. Relaly, WOW.

But what is also cool is that they are great for using while working out - the arm that wraps around your ear is extremely adjustable and malleable. I just love them. I may actually eventually get the over ear ones just for the hell of it. 

Nice job kef!",P
45,1200,good,THE SOUND IS EXCELLENT BUT THE THE DISCOMFORT IS IT DOES NOT SIT IN EAR PROPERLY IT KEEPS ON COMING OUT NOT SECURE,A
46,1208,"Great sound, Easy listening. Enjoyable","Sound quality is Great. They produce the mid frequencies and the high frequencies with ease. They are well balanced and perfect when paired with an in-room sub-woofer to fill in the bass. Throw in a little insulation behind the speaker and they really sound great. Very non-directional sound. A bright White color and attractive magnetic grill make for a great high end in-ceiling speaker. I've installed over 30 now. Strong rigid frame, light weight. quality crossover board and parts. All customers are very pleased with sound. A little on the mid-to high side in price, but you should only have buy speakers once. These are the kind you only buy once, therefore a good value overall. think of how many times you've had to buy amplifiers, A/V sources, and TVs. Invest in the best speakers now.",P
47,1229,Great sound,"I was using Klipsch outdoor and they had a tweeter go out. When I replaced them with the KEF, it was a huge improvement. Much more open and natural sound!",P
48,1203,"Very good, with reservations","Great build, looks and sound quality. Rather heavy.  Works well with itunes.  Overall I am very satisfied with the quality of the speakers, with one ongoing problem.  The network connection is not very stable, and despite being in a small room in close proximity to the wireless router, the speakers occasionally lose connection with the network, resulting in having to re-pair the speakers with the smartphone app.  This has occurred over a half dozen times in a 3 month period without any other network issues.  I have not approached KEF about this and don't know if there are software updates available to address this problem. Otherwise I would not hesitate to recommend.",P
